Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Business Analyst,Alaska,,73540,81349,89927,99771,108733
Business Analyst,Maine,,64980,71880,79458,88157,96076
Business Analyst,Vermont,,64912,71805,79376,88065,95976
Business Analyst,New Hampshire,,68296,75548,83514,92656,100979
Business Analyst,Washington,,72320,80000,88435,98115,106929
Business Analyst,Idaho,,62584,69230,76529,84907,92534
Business Analyst,Montana,,61622,68166,75353,83602,91112
Business Analyst,North Dakota,,64724,71596,79145,87809,95697
Business Analyst,Minnesota,,69078,76413,84470,93717,102136
Business Analyst,Illinois,,69260,76615,84692,93964,102405
Business Analyst,Wisconsin,,66395,73446,81189,90077,98169
Business Analyst,Michigan,,66852,73951,81748,90697,98845
Business Analyst,New York,,71929,79567,87957,97585,106351
Business Analyst,Rhode Island,,70642,78143,86382,95838,104448
Business Analyst,Massachusetts,,73358,81148,89704,99524,108464
Business Analyst,Oregon,,67770,74967,82871,91943,100202
Business Analyst,Nevada,,68134,75369,83316,92436,100740
Business Analyst,Wyoming,,62000,68584,75815,84115,91671
Business Analyst,South Dakota,,59399,65706,72634,80585,87824
Business Analyst,Iowa,,64508,71358,78881,87517,95378
Business Analyst,Indiana,,65735,72715,80382,89181,97192
Business Analyst,Ohio,,66110,73130,80841,89690,97747
Business Analyst,Pennsylvania,,67272,74415,82261,91266,99465
Business Analyst,New Jersey,,74208,82088,90743,100676,109720
Business Analyst,Connecticut,,72651,80365,88838,98564,107418
Business Analyst,California,,74349,82244,90916,100868,109929
Business Analyst,Utah,,63781,70553,77992,86530,94303
Business Analyst,Colorado,,68101,75332,83275,92391,100690
Business Analyst,Nebraska,,63247,69963,77340,85806,93515
Business Analyst,Missouri,,64228,71048,78539,87137,94965
Business Analyst,Kentucky,,63429,70165,77563,86053,93784
Business Analyst,West Virginia,,60698,67143,74223,82348,89745
Business Analyst,Virginia,,67002,74117,81931,90900,99066
Business Analyst,Maryland,,69500,76880,84986,94289,102759
Business Analyst,Delaware,,68856,76167,84198,93415,101807
Business Analyst,Arizona,,66018,73028,80728,89565,97611
Business Analyst,New Mexico,,62176,68778,76030,84352,91930
Business Analyst,Kansas,,64184,71000,78486,87078,94900
Business Analyst,Arkansas,,61427,67950,75115,83337,90824
Business Analyst,Tennessee,,61967,68547,75774,84069,91621
Business Analyst,North Carolina,,64710,71582,79129,87791,95677
Business Analyst,South Carolina,,63639,70397,77819,86338,94094
Business Analyst,District of Columbia,,75037,83005,91756,101801,110946
Business Analyst,Oklahoma,,62325,68943,76212,84555,92150
Business Analyst,Louisiana,,64090,70896,78370,86950,94760
Business Analyst,Mississippi,,60113,66496,73507,81554,88880
Business Analyst,Alabama,,61926,68502,75725,84014,91561
Business Analyst,Georgia,,65406,72352,79980,88736,96707
Business Analyst,Hawaii,,70723,78233,86481,95948,104567
Business Analyst,Texas,,66260,73296,81025,89894,97970
Business Analyst,Florida,,64036,70836,78304,86876,94681
